MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
DEYLUQ_clean_min_charges,2.67E-05,8.37E-05,8.23E-05,6.03E-05,5.62E-05,7.53E-05,8.52E-05,5.89E-05,5.51E-05,6.86E-05,,
DEYVUA_clean_min_charges,0.000109958,0.000113688,0.000110421,0.000109041,0.000109624,0.000106901,0.000111078,0.000111842,0.000106201,0.000108293,,
DIDDOK_clean_min_charges,2.12E-05,2.60E-05,2.61E-05,2.53E-05,2.41E-05,2.46E-05,2.56E-05,2.43E-05,2.55E-05,2.60E-05,,
DOGZIJ_clean_min_charges,4.70E-05,7.77E-05,8.87E-05,7.64E-05,7.75E-05,8.81E-05,9.16E-05,9.10E-05,8.44E-05,8.73E-05,,
DOQGUM_clean_min_charges,0.00109215,0.0383917,0.717943,0.0549209,0.0857912,0.0376871,0.560043,1.11193,0.0572725,0.0638324,,
ECIWUJ_clean_min_charges,1.71E-05,8.75E-05,8.68E-05,7.15E-05,8.26E-05,8.26E-05,9.46E-05,8.59E-05,9.00E-05,7.78E-05,,
ECODEG_clean_min_charges,0.000251195,0.000104683,0.000115665,0.000110766,0.000107969,0.000110077,9.60E-05,0.000106112,9.70E-05,0.000111544,,
EDADIX_clean_min_charges,0.000175369,0.000259069,0.000223681,0.000218339,0.000262405,0.000224019,0.000262405,0.000238398,0.000223167,0.000236983,,
EDUSIF_clean_min_charges,7.31E-06,8.94E-05,8.49E-05,7.17E-05,8.41E-05,9.83E-05,8.47E-05,9.06E-05,8.82E-05,7.84E-05,,
EKOPIE_clean_min_charges,0.00013416,0.00106358,0.0010808,0.00131004,0.00108397,0.000978984,0.00120934,0.00131123,0.00155984,0.000988246,,
EKOPOK_clean_min_charges,0.00115604,0.000827189,0.000719258,0.000821054,0.000474904,0.000613008,0.000650624,0.000702177,0.000591787,0.0007052,,
EMITUQ_clean_min_charges,9.95E-05,0.000133481,0.000132505,0.000137679,0.000132245,0.000118859,0.000129758,0.000134185,0.000134625,0.000132047,,
ESEVIH_clean_min_charges,0.000167949,0.000245593,0.000242821,0.000279623,0.000246852,0.000246945,0.000249071,0.000262417,0.000238603,0.000239747,,
EZABEN_clean_min_charges,0.000144887,0.000679672,0.000723642,0.000739608,0.000719902,0.000692161,0.000705241,0.000740763,0.000700073,0.000756558,,
EZUCIM_clean_min_charges,8.93E-05,0.000147073,0.000142617,0.000135209,0.000133758,0.000138,0.000142365,0.000131942,0.000138567,0.000145164,,
