MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8
DIDDOK_clean_min_charges,0.000185679,0.00062737,0.000670075,0.000704064,0.000630489,0.00055875,0.000687681,0.000591886,0.000658711,0.000654079
DOGZIJ_clean_min_charges,0.132545,0.130192,0.152034,0.100659,0.119488,0.133705,0.119809,0.111397,0.112526,0.121988
DOQGUM_clean_min_charges,9.73E-20,2.46E-07,1.68E-08,4.75E-07,3.05E-06,2.58E-09,3.10E-08,2.99E-09,7.32E-08,5.03E-08
ECIWUJ_clean_min_charges,8.18E-17,0.00162166,3.79E-06,3.34E-06,0.000189848,0.000265963,0.00011716,0.000198056,7.25E-05,9.23E-06
ECODEG_clean_min_charges,0.241468,0.0153422,0.0153066,0.0184162,0.0208772,0.0129189,0.0152717,0.0152872,0.0137338,0.0143393
EDADIX_clean_min_charges,0.0144566,0.0519884,0.0155446,0.0418657,0.0789889,0.0457693,0.0789889,0.067508,0.0269846,0.0210407
EDUSIF_clean_min_charges,2.41E-05,4.28E-05,4.20E-05,4.22E-05,4.36E-05,4.18E-05,4.14E-05,4.29E-05,4.23E-05,4.24E-05
EKOPIE_clean_min_charges,0.00295497,0.0089536,0.00998585,0.00915296,0.010474,0.00970016,0.00922349,0.0111096,0.00938128,0.0105178
EKOPOK_clean_min_charges,0.146714,0.00560023,0.00642411,0.007718,0.00800977,0.0043668,0.00674207,0.00527861,0.0190387,0.00394783
EMITUQ_clean_min_charges,0.00502408,0.0159802,0.0150672,0.0162814,0.0152529,0.014228,0.0165839,0.0147233,0.0145556,0.0170658
ESEVIH_clean_min_charges,0.00981025,0.0236953,0.0225703,0.022685,0.0236887,0.0233552,0.0229242,0.0229588,0.0232327,0.0229207
EZABEN_clean_min_charges,0.00029064,0.00975894,0.0108169,0.0107579,0.00822963,0.00977072,0.00972839,0.0098027,0.00884788,0.0100746
EZUCIM_clean_min_charges,0.0249394,0.0323913,0.0253172,0.0283803,0.0254049,0.0256689,0.02936,0.0245002,0.0255162,0.0289673
FAKLOU_clean_min_charges,0.000660982,0.000952515,0.00092709,0.000896298,0.00107592,0.000982243,0.000992875,0.000934275,0.000968332,0.00103114
FAPTIB_clean_min_charges,0.00872612,0.0238301,0.0241149,0.0224279,0.0216592,0.0231241,0.0241964,0.0261017,0.0237121,0.0220058
FAPTOH_clean_min_charges,0.0100883,0.0282388,0.0241031,0.0237625,0.0274051,0.0287463,0.0269897,0.0265771,0.0249249,0.0243497
FECWOB01_clean_min_charges,4.11E-05,0.0148743,0.00578103,0.00722302,0.0172501,0.00750044,0.00575249,0.00645075,0.0147389,0.00452093
FECZAQ_manual_min_charges,0.00102072,0.00547252,0.00551688,0.00502349,0.00556106,0.00557513,0.00534134,0.00492702,0.00418031,0.00491272
FERHAN_clean_min_charges,0.0301602,0.00137089,0.00139471,0.00138552,0.00200667,0.00128876,0.00155847,0.00131295,0.00130629,0.00132659
FEWGUL_clean_min_charges,0.0807288,0.0304364,0.0373002,0.0288613,0.0482399,0.0343189,0.0325172,0.0400443,0.0216476,0.0296286
FEZREJ_clean_min_charges,0.00186753,0.00148993,0.00142751,0.00145962,0.00148032,0.00145728,0.00151151,0.00139414,0.00150115,0.001469
FIJCUX01_clean_min_charges,0.00287837,0.00743807,0.00768116,0.00704749,0.00753544,0.00774016,0.00733777,0.00719706,0.0076076,0.00741151
FIJCUX_clean_min_charges,0.00262179,0.00634276,0.00643008,0.0063315,0.00607237,0.00671295,0.00654754,0.00651461,0.00577947,0.00656956
FIPWOS_clean_min_charges,1.22046,1.84467,1.63051,1.70656,2.27969,1.77619,1.86751,1.64461,2.10635,1.64059
FIPXEJ_clean_min_charges,0.0109571,0.852918,0.830389,0.786299,0.877611,0.841385,0.878654,0.968831,0.805924,0.971954
FIRVEH_clean_min_charges,0.000157879,5.59E-06,5.96E-06,6.29E-06,4.73E-06,5.92E-06,4.40E-06,5.23E-06,5.65E-06,6.37E-06
FOHCIP_clean_min_charges,6.60E-08,6.08E-05,0.000108418,0.000110833,8.41E-05,6.80E-05,8.44E-05,5.29E-05,7.37E-05,5.60E-05
FUNBAS_clean_min_charges,0.0453055,0.415181,0.410329,0.405945,0.417869,0.421088,0.436427,0.41643,0.405534,0.387039
FUNBIA_clean_min_charges,0.0216408,0.116401,0.126773,0.116585,0.122695,0.120268,0.129771,0.113906,0.134096,0.134696
FUNBOG_clean_min_charges,0.00384056,0.00421014,0.00435199,0.00359994,0.00385078,0.00414592,0.00413392,0.00344244,0.00405744,0.00457626
FUNCAT_clean_min_charges,0.0117378,0.109633,0.108055,0.102762,0.105611,0.104879,0.099044,0.111886,0.11001,0.112254
FUNCEX_clean_min_charges,0.00379418,0.00517782,0.00468169,0.00453691,0.00450188,0.00476956,0.00485196,0.00410307,0.00436261,0.00438874
GACQAE_clean_min_charges,0.0017231,0.00265529,0.00234122,0.00265298,0.00263724,0.00251656,0.00232803,0.00283699,0.00281211,0.00301166
GALCED_clean_min_charges,0.00621908,0.00675998,0.00692239,0.00700888,0.00631239,0.00647105,0.00708921,0.00691289,0.00743276,0.00700659
GAXWEJ_clean_min_charges,0.00118672,0.397557,0.371069,0.381025,0.390704,0.409369,0.38262,0.351223,0.389467,0.419958
GAYFUJ_clean_min_charges,0.00548311,0.108465,0.106308,0.112977,0.10369,0.10953,0.108013,0.106033,0.114127,0.106714
GIDKOU_clean_min_charges,0.0236371,0.00184337,0.00691461,0.00383022,0.0154174,0.00715637,0.00259876,0.0160305,0.0073446,0.00482518
GIHBII_clean_min_charges,0.644482,5.09E-07,4.51E-07,8.40E-08,2.19E-08,9.84E-07,4.13E-07,7.12E-07,5.77E-08,1.21E-07
GIMSIG_clean_min_charges,0.002271,0.0104874,0.0102699,0.0104322,0.0103539,0.0105659,0.0106874,0.0107862,0.0100109,0.0102819
