MOF,rigid,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9
ABUWOJ_clean_min_charges,5.070592648,5.328818493258,5.4112503162575,5.3314775843225,5.448477591160501,5.4059321341285,5.366045768161,5.3793412234835,5.19453439450075,5.237079851532751
ACOLIP_clean_min_charges,6.085390966,4.663889302397,4.749487066805,4.701932753245,4.8053633852379996,4.661511586719,4.810118816594,4.764942218712,4.697177321889,4.8695617085439995
AGARUW_clean_min_charges,2.368031989,3.4473478893455,3.39537353906125,3.39366946200275,3.36640422906675,3.36981238318375,3.489949815808,3.40048577023675,3.32721045672125,3.4848375846325
AHOKIR01_clean_min_charges,1.57271887,1.0894134964485,1.131923127909,1.1291447206240002,1.1060839401585,1.114141321285,1.125810631882,1.0871907706205002,1.1027498514165002,1.124699268968
AMILUE_clean_min_charges,7.139048122999999,6.83751823036625,6.87241242904125,6.81309229129375,7.0939905906275005,6.999776254205,6.82704997076375,6.92824314692125,6.89683836811375,6.91079604758375
AMIMEP_clean_min_charges,7.416041976,7.1751901553887505,7.3491230629575,7.491931134435,7.455313680210001,7.18983713707875,7.171528409966251,7.314336481443751,7.3564465538025,7.39672575345
AMUCOB_clean_min_charges,1.209100829,1.9258804933874998,1.85788026855925,1.9201741808144999,1.9487057436795,1.9344399622469999,1.87880341466025,1.9016286649522498,1.9135168161459999,1.8597823727502498
ANUGIA_clean_min_charges,19.70126811,19.357511987225,19.59887747335,19.473367420565,18.9954637580375,19.1789015274925,19.531295137235,19.627841331684998,19.0533914747075,18.8313352274725
APEBED_clean_min_charges,2.436718365,2.9567279292755004,2.9476974545615002,3.0748766401170005,2.9898396698935,3.0553106115700004,2.9868295116555004,2.9973650654885002,3.034239503904,3.0492902950940004
AROFET_clean_min_charges,7.707584311000001,7.604453381448001,7.931714043904001,7.554105587224,7.769051939488,7.631563732184,7.889112064176,7.6005804742,7.869747527936,7.581215937960001
ATOXEN_clean_min_charges,2.066347219,1.7669024144420002,1.8189617401760003,1.8056131951160002,1.8073930011240003,1.7499942573660001,1.7606730934140002,1.7766913474860002,1.7878151350360003,1.8002737770920003
