MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
GINLIA_clean_min_charges,0.00386197,0.0094055,0.00935532,0.00997322,0.0112799,0.0103979,0.0110547,0.0107701,0.010076,0.00931671,,
GITWIQ_clean_min_charges,0.00460018,0.0247064,0.0242267,0.025293,0.0250548,0.0254702,0.0254946,0.0242624,0.02452,0.0259844,,
GIZJOP_clean_min_charges,0.0112399,0.030861,0.0279618,0.030836,0.0343201,0.0290639,0.0289438,0.0306191,0.0270967,0.0319226,,
GOMRAC_clean_min_charges,63.6783,347.922,344.397,343.836,344.288,346.057,342.888,344.275,351.178,345.552,,
GOMREG_clean_min_charges,81.0438,625.474,625.463,623.385,628.426,619.954,627.823,621.439,628.142,625.075,,
GULPIN_clean_min_charges,0.000662147,0.00117342,0.00139988,0.000957815,0.00194502,0.00255244,0.00172946,0.00298122,0.000515478,0.000628304,,
GUWDUY_clean_min_charges,0.0129392,0.00522527,0.00580308,0.00564796,0.00432554,0.00576058,0.00676437,0.00428657,0.00663662,0.00510679,,
GUXLIU_clean_min_charges,2.44E-27,2.06E-06,9.81E-08,1.35E-07,3.33E-08,8.83E-08,4.18E-07,5.24E-08,8.23E-08,1.99E-07,,
GUYLUI01_clean_min_charges,0.00543551,1.03E-06,1.86E-07,5.39E-06,1.89E-06,7.48E-08,9.66E-06,2.82E-05,1.27E-07,8.70E-05,,
GUYLUI_clean_min_charges,0.0063633,6.38E-06,8.76E-05,2.07E-08,8.27E-07,1.99E-07,6.16E-06,2.22E-05,1.46E-07,0.000278052,,
HABRIN_clean_min_charges,1.20E-08,0.000197625,0.000673567,0.000213572,0.000640459,0.000298778,0.000572079,0.000188806,0.000211239,0.000177167,,
HAFQUC_clean_min_charges,0.0145866,0.0460556,0.0466211,0.0474759,0.0460265,0.0462691,0.0469483,0.0478724,0.0466825,0.0469223,,
HAKWUM_clean_min_charges,1.21E-39,0.000477617,3.22E-05,1.34E-05,0.000779474,8.22E-05,1.25E-05,1.52E-05,0.000377796,6.92E-06,,
HAMJOW_clean_min_charges,0.00750346,0.0153963,0.0152849,0.0146117,0.0147574,0.0149582,0.0151794,0.0157158,0.0150705,0.0150284,,
HEGJUZ_clean_min_charges,0.0257134,0.0461921,0.0389795,0.0467549,0.0483078,0.0377153,0.0460198,0.0435419,0.0387574,0.0391839,,
HICVUM_clean_min_charges,0.0163972,0.00584411,0.00543835,0.00566206,0.00505312,0.00538231,0.00565116,0.00599351,0.0063478,0.00539667,,
HIFTOG01_clean_min_charges,4.80E-05,7.23E-05,7.27E-05,7.37E-05,7.23E-05,7.37E-05,7.25E-05,7.32E-05,7.41E-05,7.26E-05,,
HIFTOG02_clean_min_charges,0.000861421,0.00279865,0.00219036,0.00243926,0.00271615,0.00240165,0.00237332,0.00260455,0.00268204,0.00233051,,
HIFTOG_clean_min_charges,0.000867915,0.00225088,0.00229813,0.00202431,0.00262078,0.00230952,0.00256426,0.00210266,0.00215776,0.00217323,,
HIFVOI_clean_min_charges,0.00220869,0.00233338,0.00221868,0.00223059,0.00212623,0.00226369,0.00160886,0.0026087,0.00245824,0.00235459,,
