MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
DEYVUA_clean_min_charges,0.00335457,0.00504856,0.00484475,0.00458968,0.0049219,0.00458111,0.00458788,0.00495739,0.00445619,0.00472364,,
DIDDOK_clean_min_charges,0.000146266,0.000287621,0.000301848,0.000306972,0.000285965,0.000267995,0.000301018,0.000274745,0.000292982,0.000294906,,
DOGZIJ_clean_min_charges,0.00690266,0.00703085,0.00766797,0.00602134,0.00675717,0.00731985,0.00683963,0.00653958,0.00633874,0.00682149,,
DOQGUM_clean_min_charges,2.21E-11,1.13E-05,1.49E-06,1.00E-05,1.50E-05,2.06E-06,6.30E-06,2.28E-06,4.69E-06,4.91E-06,,
ECIWUJ_clean_min_charges,1.55E-11,0.00174926,0.00102314,0.000799302,0.00176513,0.000426286,0.00123249,0.00186001,0.000905107,0.000619075,,
ECODEG_clean_min_charges,0.0212089,0.00188802,0.00182923,0.0019266,0.00226836,0.001781,0.00182239,0.0018039,0.00167082,0.00177367,,
EDADIX_clean_min_charges,0.00322508,0.00601916,0.00345655,0.00559582,0.00726905,0.00497484,,0.00508652,0.00423795,0.00411192,,
EDUSIF_clean_min_charges,3.15E-05,4.58E-05,4.54E-05,4.57E-05,4.64E-05,4.53E-05,4.50E-05,4.61E-05,4.56E-05,4.58E-05,,
EKOPIE_clean_min_charges,0.000779096,0.00133902,0.0013671,0.00137174,0.00143083,0.00134674,0.00134672,0.00144531,0.00137225,0.00145865,,
EKOPOK_clean_min_charges,0.00754487,0.0014266,0.00139771,0.00119209,0.0015521,0.00101054,0.00137771,0.000991154,0.00205344,0.000934614,,
EMITUQ_clean_min_charges,0.00106784,0.00209991,0.00205049,0.00213105,0.00209173,0.0020022,0.00213303,0.00202639,0.00200889,0.00221229,,
ESEVIH_clean_min_charges,0.00119137,0.00209212,0.00201974,0.00202768,0.00210146,0.0020741,0.00203791,0.00204143,0.00206075,0.00204559,,
EZABEN_clean_min_charges,0.000318966,0.00158798,0.00168668,0.00167117,0.00144019,0.00158053,0.00157726,0.00157411,0.00150802,0.00156459,,
EZUCIM_clean_min_charges,0.00412435,0.00362513,0.00314315,0.00336693,0.00314002,0.00314067,0.00345506,0.00309271,0.00307682,0.00339986,,
FAKLOU_clean_min_charges,0.000263552,0.000316312,0.000309756,0.000297958,0.000341829,0.000323108,0.000327274,0.000308002,0.000318097,0.000333275,,
FAPTIB_clean_min_charges,0.00154264,0.00298874,0.00307117,0.00298833,0.00275319,0.00295696,0.00303889,0.00319053,0.00301044,0.00280154,,
FAPTOH_clean_min_charges,0.00171263,0.00328996,0.00294075,0.00308806,0.00324474,0.00334252,0.00317857,0.00325615,0.00311296,0.00294434,,
FECWOB01_clean_min_charges,0.000307348,0.00204863,0.00157909,0.00166163,0.00222976,0.00176486,0.00187184,0.00155909,0.00249728,0.00126717,,
FECZAQ_manual_min_charges,0.000339874,0.00101425,0.00100302,0.000968536,0.000977804,0.000997961,0.000956764,0.000952418,0.0008693,0.000924961,,
FERHAN_clean_min_charges,0.00940043,0.000558617,0.00152142,0.000488376,0.00151543,0.000608155,0.0014302,0.000615545,0.00043579,0.000536767,,
FEWGUL_clean_min_charges,0.0059399,0.00344065,0.00386353,0.00316058,0.00377874,0.0037965,0.00344465,0.00351225,0.00284018,0.00349558,,
FEZREJ_clean_min_charges,0.000513412,0.000378938,0.000367603,0.000376992,0.000375864,0.00036941,0.00037478,0.000361432,0.000382284,0.000374166,,
FIJCUX01_clean_min_charges,0.000614606,0.00113773,0.00116883,0.00109639,0.00114778,0.00117218,0.00112702,0.00110641,0.00115541,0.00113452,,
FIJCUX_clean_min_charges,0.000576401,0.00101771,0.0010208,0.00101667,0.000980781,0.00107585,0.001054,0.00102457,0.000938306,0.00103818,,
FIPWOS_clean_min_charges,0.0781028,0.0600002,0.0562748,0.0589982,0.0635441,0.0586195,0.0599353,0.0556827,0.0629045,0.0562845,,
FIPXEJ_clean_min_charges,0.00415722,0.05904,0.0571848,0.0556269,0.0579127,0.054967,0.0590815,0.0572417,0.0572802,0.0563517,,
FIRVEH_clean_min_charges,0.000299146,0.000106338,0.00010314,0.000104281,9.50E-05,0.000104217,9.90E-05,0.000109738,0.000112209,0.000109071,,
FOHCIP_clean_min_charges,5.27E-06,3.51E-05,5.13E-05,4.85E-05,3.86E-05,3.65E-05,4.36E-05,3.29E-05,4.31E-05,3.70E-05,,
FUNBAS_clean_min_charges,0.00928068,0.018854,0.0187677,0.0189792,0.0189875,0.0193249,0.0194527,0.0188429,0.0188146,0.0183023,,
FUNBIA_clean_min_charges,0.00689683,0.00848953,0.00901476,0.00887173,0.00889584,0.0088026,0.00893199,0.00816118,0.00985706,0.00935831,,
FUNBOG_clean_min_charges,0.000674637,0.000761614,0.000756837,0.00067476,0.000718275,0.000750068,0.000740059,0.000661736,0.000726716,0.000794039,,
FUNCAT_clean_min_charges,0.00622017,0.00857316,0.00884895,0.00889699,0.00883302,0.00853321,0.00836177,0.00898509,0.00915715,0.00895088,,
FUNCEX_clean_min_charges,0.000655665,0.000830722,0.00079269,0.000780053,0.000788568,0.00080022,0.000813063,0.000720551,0.000752214,0.000751331,,
GACQAE_clean_min_charges,0.000600396,0.000787881,0.000752431,0.000785876,0.000787698,0.000776734,0.000740972,0.000841509,0.000826668,0.000822525,,
GALCED_clean_min_charges,0.00125836,0.0011083,0.00112721,0.00112334,0.00104704,0.0010795,0.00117115,0.00113211,0.00118927,0.00114849,,
GAXWEJ_clean_min_charges,0.00179121,0.015727,0.0154025,0.0155873,0.0155675,0.0165002,0.0155235,0.0147489,0.0157038,0.0163268,,
GAYFUJ_clean_min_charges,0.0011961,0.0080299,0.00792772,0.00833049,0.00775875,0.00809443,0.00801549,0.00794339,0.00829078,0.00800985,,
GIDKOU_clean_min_charges,0.0242367,0.00426701,0.0063341,0.00578612,0.0070331,0.00575158,0.00425792,0.00574347,0.00581181,0.00581198,,
GIHBII_clean_min_charges,0.538747,0.000584369,0.000364522,0.000270541,0.000199389,0.000395422,0.000574998,0.00101863,0.000292162,0.00022778,,
GIMSIG_clean_min_charges,0.000623462,0.0019381,0.0019125,0.00190627,0.00192114,0.00194258,0.00195311,0.00198823,0.00185892,0.00191971,,
GINLIA_clean_min_charges,0.0016057,0.00338512,0.00337088,0.0034877,0.00386645,0.0036235,0.00376282,0.00370655,0.00359177,0.00329908,,
GITWIQ_clean_min_charges,0.0018534,0.00669797,0.00661082,0.00672797,0.00680886,0.00682517,0.00680877,0.00653057,0.00659179,0.00688491,,
GIZJOP_clean_min_charges,0.00392883,0.00929194,0.00856238,0.00907406,0.0100957,0.0087695,0.00877529,0.00907475,0.0082283,0.00931254,,
GOMRAC_clean_min_charges,9.15329,41.2407,40.9179,40.8017,40.8901,41.0525,40.6707,41.1658,41.6434,41.0235,,
GOMREG_clean_min_charges,11.387,67.2064,67.3828,67.1001,67.4137,66.7381,67.3515,67.0068,67.5623,67.5376,,
GULPIN_clean_min_charges,0.00058183,0.000693443,0.000838931,0.000653914,0.00106676,0.00122172,0.000929205,0.00144342,0.0003636,0.000414489,,
GUWDUY_clean_min_charges,0.00470754,0.00200111,0.00214781,0.00213076,0.00162194,0.00213822,0.00235158,0.00163094,0.00236168,0.00191568,,
GUXLIU_clean_min_charges,8.53E-22,1.80E-05,8.40E-06,5.29E-06,6.88E-06,7.42E-06,3.56E-05,6.30E-06,5.35E-06,1.51E-05,,
GUYLUI01_clean_min_charges,0.00310707,1.85E-06,1.21E-06,1.57E-05,4.23E-06,4.81E-07,1.93E-05,3.85E-05,1.00E-06,7.74E-05,,
GUYLUI_clean_min_charges,0.0035463,1.30E-05,7.79E-05,1.13E-07,2.41E-06,1.79E-06,7.81E-06,2.65E-05,1.02E-06,0.000229204,,
HABRIN_clean_min_charges,3.39E-07,0.000551884,0.000966811,0.000534776,0.000948814,0.000602195,0.00106794,0.000387999,0.000460917,0.000393825,,
HAFQUC_clean_min_charges,0.00496338,0.0136457,0.0138073,0.014042,0.0137009,0.0137031,0.0138094,0.0141983,0.013876,0.0138922,,
HAKWUM_clean_min_charges,3.20E-31,0.00110581,7.00E-05,6.13E-05,0.000805739,0.00037773,0.000127311,6.75E-05,0.000730427,0.000103961,,
HAMJOW_clean_min_charges,0.00272313,0.00472575,0.00476244,0.00454299,0.00459859,0.00464085,0.00474955,0.00493935,0.00475709,0.00467888,,
HEGJUZ_clean_min_charges,0.00766122,0.0129058,0.0111451,0.0133263,0.0134849,0.0108751,0.0129518,0.0121751,0.0109948,0.0111465,,
HICVUM_clean_min_charges,0.00561224,0.00202605,0.00193078,0.00195031,0.00178035,0.00191209,0.00196048,0.00209996,0.00220338,0.00188634,,
HIFTOG01_clean_min_charges,3.15E-05,4.49E-05,4.51E-05,4.56E-05,4.49E-05,4.56E-05,4.51E-05,4.55E-05,4.59E-05,4.51E-05,,
HIFTOG02_clean_min_charges,0.000474239,0.00125392,0.00108262,0.00114914,0.00127188,0.00114204,0.0011185,0.00121993,0.00125942,0.00114144,,
HIFTOG_clean_min_charges,0.00047965,0.00113885,0.00114741,0.000966866,0.00126514,0.0011648,0.00128512,0.00101836,0.00107816,0.00107796,,
HIFVOI_clean_min_charges,0.00109559,0.00127374,0.00124936,0.00126135,0.00118743,0.0012888,0.000950157,0.00142362,0.00138905,0.00131719,,
