MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
FAPTIB_clean_min_charges,0.000117779,0.000186773,0.000188702,0.000187025,0.000173995,0.000186188,0.000188947,0.00019715,0.000185583,0.000177348,,
FAPTOH_clean_min_charges,0.000124183,0.000191683,0.00017556,0.000187692,0.000193918,0.000197105,0.000187002,0.000191857,0.000188917,0.000179768,,
FECWOB01_clean_min_charges,8.67E-05,0.000124705,0.000123342,0.000121521,0.000133704,0.000111616,0.000133027,0.00012475,0.000165373,0.000119506,,
FECZAQ_manual_min_charges,3.88E-05,7.50E-05,7.32E-05,7.34E-05,7.21E-05,7.49E-05,7.13E-05,7.10E-05,6.89E-05,7.10E-05,,
FERHAN_clean_min_charges,0.000259264,0.000139367,0.000234034,0.000127076,0.000284098,0.000120261,0.000203137,0.000154892,7.74E-05,0.000152029,,
FEWGUL_clean_min_charges,0.000238671,0.000194542,0.000199414,0.000186655,0.000198139,0.000201204,0.000195391,0.000189581,0.000189696,0.000198217,,
FEZREJ_clean_min_charges,5.02E-05,3.81E-05,3.70E-05,3.82E-05,3.78E-05,3.73E-05,3.75E-05,3.68E-05,3.85E-05,3.77E-05,,
FIJCUX01_clean_min_charges,5.56E-05,8.70E-05,8.89E-05,8.45E-05,8.74E-05,8.88E-05,8.64E-05,8.56E-05,8.81E-05,8.60E-05,,
FIJCUX_clean_min_charges,5.38E-05,7.74E-05,7.70E-05,7.67E-05,7.50E-05,8.08E-05,7.97E-05,7.68E-05,7.18E-05,7.77E-05,,
FIPWOS_clean_min_charges,0.00198422,0.00142833,0.00138268,0.00139334,0.00145183,0.00139575,0.00142576,0.00137304,0.00144876,0.00136523,,
FIPXEJ_clean_min_charges,0.000354004,0.00182017,0.00179075,0.00180623,0.00184008,0.00174638,0.00186527,0.00176076,0.00181849,0.00171439,,
FIRVEH_clean_min_charges,6.14E-05,4.24E-05,4.06E-05,4.09E-05,4.05E-05,4.14E-05,4.10E-05,4.32E-05,4.39E-05,4.29E-05,,
FOHCIP_clean_min_charges,5.08E-06,5.65E-06,7.72E-06,7.11E-06,6.19E-06,5.46E-06,6.45E-06,5.56E-06,6.90E-06,5.87E-06,,
FUNBAS_clean_min_charges,0.00039412,0.000533691,0.000530918,0.000533057,0.000537623,0.000539562,0.000541697,0.000531367,0.000527243,0.00051965,,
FUNBIA_clean_min_charges,0.000334912,0.000290376,0.000304097,0.000303407,0.000303696,0.000297781,0.000304646,0.00028224,0.000323363,0.000310021,,
FUNBOG_clean_min_charges,5.65E-05,6.26E-05,6.18E-05,5.87E-05,6.03E-05,6.26E-05,6.15E-05,5.78E-05,6.10E-05,6.44E-05,,
