MOF,rigid,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9
ABUWOJ_clean_min_charges,7.041659007000001,7.424699594730001,7.4134187141100005,7.64091647328,7.48486429137,7.64843706036,7.68603999576,7.66347823452,7.60331353788,7.45102164951
ACOLIP_clean_min_charges,8.004575037999999,7.1550485547,7.1234821640175,7.0252756152275,6.98143340594625,7.119974787275,7.148033801215,7.1725854384125,7.1515411779575,6.87971948041375
AGARUW_clean_min_charges,3.1020004230000002,6.03221570894625,6.1852560974425,6.0140326924912495,6.1488900645325,5.93827012392875,5.99888017877875,5.93220911844375,5.94433112941375,6.1731340864724995
AHOKIR01_clean_min_charges,5.231943917,3.4098727713374997,3.30431702680625,3.37693937904375,3.33978375696875,3.36849491948125,3.3963616360374997,3.38453939265,3.30093924298125,3.36680602756875
AMILUE_clean_min_charges,9.876535782000001,9.824529969083999,9.873238595603999,9.515230190681999,9.878109458255999,9.921947222123999,9.917076359471999,9.573680542505999,9.622389169025999,9.756337891955999
AMIMEP_clean_min_charges,10.17337896,9.506753751847,9.829386629876,9.613489440819,9.564973218559,9.540715107429,9.560121596333,9.761463918712,9.516456996299,9.497050507395
AMUCOB_clean_min_charges,1.2389158340000002,2.083506723672,1.9862560432660001,2.0208793221540002,2.011714336566,2.031062639474,2.0845250554040002,1.9954210288540002,2.0437917861240003,1.996439360586
ANUGIA_clean_min_charges,27.11475015,25.61351455299,25.83460099493,25.990662012770002,25.76957557083,25.66553489227,26.322291675680002,26.56938828726,25.53548404407,26.4003221846
APEBED_clean_min_charges,3.8350249780000003,4.148800452316,4.0939167618639996,4.081720386208,4.083753115484,4.13660407666,3.993296662702,4.013623955462,4.058343999534,4.120342242452
AROFET_clean_min_charges,10.04025255,10.55105002443,10.86787438802,10.8891735049,10.41793054393,10.39663142705,10.82527615426,10.64157127117,10.593648258189999,10.43922966081
ATOXEN_clean_min_charges,2.6551215459999997,2.7128590573549998,2.700605239781,2.6583976459149996,2.7114975220689996,2.7897858010139998,2.7802550540119997,2.751662813006,2.6815437457769997,2.6774591399189998
AVAQIX_clean_min_charges,5.840163072,5.8633814559845,5.8181438190667505,5.842951555441001,5.956775287040501,5.803551032964251,5.968449515922501,5.806469590184751,5.948019615379001,5.727668545231251
AVIMOI_clean_min_charges,6.465591795,5.5175741553735,5.582107186430499,5.5736898345535,5.704158788647,5.670489381138999,5.628402621754,5.545631994963499,5.523185723291499,5.5091568034964995
BAEDTA01_clean_min_charges,1.5422898459999999,1.7148376013775,1.765541669955,1.7061702392275,1.7018365581525,1.7200380186675,1.73520590243,1.7577410440199999,1.760341252665,1.7174378100224998
BALMUW01_clean_min_charges,1.1079506209999999,1.5359626386690002,1.50519780836925,1.49228417589775,1.49532267765575,1.51203443732475,1.5029189320507501,1.5397607658665,1.5564725255355,1.537481889548
BALMUW_clean_min_charges,1.108489915,1.372560501699,1.388852021007,1.386136767789,1.32809823025425,1.35321432252075,1.3881732077025,1.34303212295325,1.3664511819585,1.33488636329925
BARZAW_clean_min_charges,2.704216522,2.1195073609815,2.1392460401549998,2.152049507727,2.1691207978229996,2.1248421391364998,2.1627190640369998,2.0928334702064997,2.0864317364205,2.0906995589445
BENXUP_clean_min_charges,3.39342608,4.2571339137185005,4.1231091226817504,4.223363887630501,4.314120832742001,4.3246739658945,4.21808732105425,4.259244540349,4.26346579361,4.267687046871
BERGAI_clean_min_charges,2.8809068669999998,3.5824195426100003,3.6574866524400003,3.6810016507000003,3.5950814647500002,3.54443377619,3.66833972856,3.53358070007,3.55347800629,3.61950088602
BIBBUL_clean_min_charges,1.89779636,1.88422300446825,1.940706245955,1.977396214784,1.88615405545925,1.9744996382975,1.9532580773965,1.92863717726125,1.965809908838,1.960016755865
BOJCIN_clean_min_charges,4.271236061000001,3.8423530122239997,3.914886733824,3.799799895552,3.7765891046399997,3.7901287326719997,3.87813631488,3.8742678497279996,3.899412873216,3.836550314496
